Date,"Synthetic 10-Year Yield","Synthetic 2-Year Yield","Synthetic 5-Year Yield"
1990-12-21,0.027946096424007,0.02,0.025507490008257
1990-12-28,0.027946096424007,0.02,0.025507490008257
1991-01-04,0.027946096424007,0.02,0.025507490008257
1991-01-11,0.027946096424007,0.02,0.025507490008257
1991-01-18,0.027946096424007,0.02,0.025507490008257
1991-01-25,0.027946096424007,0.02,0.025507490008257
1991-02-01,0.027946096424007,0.02,0.025507490008257
1991-02-08,0.027946096424007,0.02,0.025507490008257
1991-02-15,0.027946096424007,0.02,0.025507490008257
1991-02-22,0.027946096424007,0.02,0.025507490008257
1991-03-01,0.027946096424007,0.02,0.025507490008257
1991-03-08,0.027946096424007,0.02,0.025507490008257
1991-03-15,0.027946096424007,0.02,0.025507490008257
1991-03-22,0.027946096424007,0.02,0.025507490008257
1991-03-29,0.027946096424007,0.02,0.025507490008257
1991-04-05,0.027946096424007,0.02,0.025507490008257
1991-04-12,0.027946096424007,0.02,0.025507490008257
1991-04-19,0.027946096424007,0.02,0.025507490008257
1991-04-26,0.027946096424007,0.02,0.025507490008257
1991-05-03,0.027946096424007,0.02,0.025507490008257
1991-05-10,0.027946096424007,0.02,0.025507490008257
1991-05-17,0.027946096424007,0.02,0.025507490008257
1991-05-24,0.027946096424007,0.02,0.025507490008257
1991-05-31,0.027946096424007,0.02,0.025507490008257
1991-06-07,0.027946096424007,0.02,0.025507490008257
1991-06-14,0.027946096424007,0.02,0.025507490008257
1991-06-21,0.027946096424007,0.02,0.025507490008257
1991-06-28,0.027946096424007,0.02,0.025507490008257
1991-07-05,0.027946096424007,0.02,0.025507490008257
1991-07-12,0.027946096424007,0.02,0.025507490008257
1991-07-19,0.027946096424007,0.02,0.025507490008257
1991-07-26,0.027946096424007,0.02,0.025507490008257
1991-08-02,0.027946096424007,0.02,0.025507490008257
1991-08-09,0.027946096424007,0.02,0.025507490008257
1991-08-16,0.027946096424007,0.02,0.025507490008257
1991-08-23,0.027946096424007,0.02,0.025507490008257
1991-08-30,0.027946096424007,0.02,0.025507490008257
1991-09-06,0.027946096424007,0.02,0.025507490008257
1991-09-13,0.027946096424007,0.02,0.025507490008257
1991-09-20,0.027946096424007,0.02,0.025507490008257
1991-09-27,0.027946096424007,0.02,0.025507490008257
1991-10-04,0.027946096424007,0.02,0.025507490008257
1991-10-11,0.027946096424007,0.02,0.025507490008257
1991-10-18,0.027946096424007,0.02,0.025507490008257
1991-10-25,0.027946096424007,0.02,0.025507490008257
1991-11-01,0.027946096424007,0.02,0.025507490008257
1991-11-08,0.027946096424007,0.02,0.025507490008257
1991-11-15,0.027946096424007,0.02,0.025507490008257
1991-11-22,0.027946096424007,0.02,0.025507490008257
1991-11-29,0.027946096424007,0.02,0.025507490008257
1991-12-06,0.027946096424007,0.02,0.025507490008257
1991-12-13,0.027946096424007,0.02,0.025507490008257
1991-12-20,0.027946096424007,0.02,0.025507490008257
1991-12-27,0.027946096424007,0.02,0.025507490008257
1992-01-03,0.027946096424007,0.02,0.025507490008257
1992-01-10,0.027946096424007,0.02,0.025507490008257
1992-01-17,0.027946096424007,0.02,0.025507490008257
1992-01-24,0.027946096424007,0.02,0.025507490008257
1992-01-31,0.027946096424007,0.02,0.025507490008257
1992-02-07,0.027946096424007,0.02,0.025507490008257
1992-02-14,0.027946096424007,0.02,0.025507490008257
1992-02-21,0.027946096424007,0.02,0.025507490008257
1992-02-28,0.027946096424007,0.02,0.025507490008257
1992-03-06,0.027946096424007,0.02,0.025507490008257
1992-03-13,0.027946096424007,0.02,0.025507490008257
1992-03-20,0.027946096424007,0.02,0.025507490008257
1992-03-27,0.027946096424007,0.02,0.025507490008257
1992-04-03,0.027946096424007,0.02,0.025507490008257
1992-04-10,0.027946096424007,0.02,0.025507490008257
1992-04-17,0.027946096424007,0.02,0.025507490008257
1992-04-24,0.027946096424007,0.02,0.025507490008257
1992-05-01,0.027946096424007,0.02,0.025507490008257
1992-05-08,0.027946096424007,0.02,0.025507490008257
1992-05-15,0.027946096424007,0.02,0.025507490008257
1992-05-22,0.027946096424007,0.02,0.025507490008257
1992-05-29,0.027946096424007,0.02,0.025507490008257
1992-06-05,0.027946096424007,0.02,0.025507490008257
1992-06-12,0.027946096424007,0.02,0.025507490008257
1992-06-19,0.027946096424007,0.02,0.025507490008257
1992-06-26,0.027946096424007,0.02,0.025507490008257
1992-07-03,0.027946096424007,0.02,0.025507490008257
1992-07-10,0.027946096424007,0.02,0.025507490008257
1992-07-17,0.027946096424007,0.02,0.025507490008257
1992-07-24,0.027946096424007,0.02,0.025507490008257
1992-07-31,0.027946096424007,0.02,0.025507490008257
1992-08-07,0.027946096424007,0.02,0.025507490008257
1992-08-14,0.027946096424007,0.02,0.025507490008257
1992-08-21,0.027946096424007,0.02,0.025507490008257
1992-08-28,0.027946096424007,0.02,0.025507490008257
1992-09-04,0.027946096424007,0.02,0.025507490008257
1992-09-11,0.027946096424007,0.02,0.025507490008257
1992-09-18,0.027946096424007,0.02,0.025507490008257
1992-09-24,0.027946096424007,0.02,0.025507490008257
1992-10-02,0.027946096424007,0.02,0.025507490008257
1992-10-09,0.027946096424007,0.02,0.025507490008257
1992-10-16,0.027946096424007,0.02,0.025507490008257
1992-10-23,0.027946096424007,0.02,0.025507490008257
1992-10-30,0.027946096424007,0.02,0.025507490008257
1992-11-06,0.027946096424007,0.02,0.025507490008257
1992-11-13,0.027946096424007,0.02,0.025507490008257
1992-11-20,0.027946096424007,0.02,0.025507490008257
1992-11-27,0.027946096424007,0.02,0.025507490008257
1992-12-04,0.027946096424007,0.02,0.025507490008257
1992-12-11,0.027946096424007,0.02,0.025507490008257
1992-12-18,0.027946096424007,0.02,0.025507490008257
1992-12-25,0.027946096424007,0.02,0.025507490008257
1992-12-31,0.027946096424007,0.02,0.025507490008257
1993-01-08,0.027946096424007,0.02,0.025507490008257
1993-01-15,0.027946096424007,0.02,0.025507490008257
1993-01-22,0.027946096424007,0.02,0.025507490008257
1993-01-29,0.027946096424007,0.02,0.025507490008257
1993-02-05,0.027946096424007,0.02,0.025507490008257
1993-02-12,0.027946096424007,0.02,0.025507490008257
1993-02-19,0.027946096424007,0.02,0.025507490008257
1993-02-26,0.027946096424007,0.02,0.025507490008257
1993-03-05,0.027946096424007,0.02,0.025507490008257
1993-03-12,0.027946096424007,0.02,0.025507490008257
1993-03-19,0.027946096424007,0.02,0.025507490008257
1993-03-26,0.027946096424007,0.02,0.025507490008257
1993-04-02,0.027946096424007,0.02,0.025507490008257
1993-04-09,0.027946096424007,0.02,0.025507490008257
1993-04-16,0.027946096424007,0.02,0.025507490008257
1993-04-23,0.027946096424007,0.02,0.025507490008257
1993-04-30,0.027946096424007,0.02,0.025507490008257
1993-05-07,0.027946096424007,0.02,0.025507490008257
1993-05-14,0.027946096424007,0.02,0.025507490008257
1993-05-21,0.027946096424007,0.02,0.025507490008257
1993-05-28,0.027946096424007,0.02,0.025507490008257
1993-06-04,0.027946096424007,0.02,0.025507490008257
1993-06-11,0.027946096424007,0.02,0.025507490008257
1993-06-18,0.027946096424007,0.02,0.025507490008257
1993-06-25,0.027946096424007,0.02,0.025507490008257
1993-07-02,0.027946096424007,0.02,0.025507490008257
1993-07-09,0.027946096424007,0.02,0.025507490008257
1993-07-16,0.027946096424007,0.02,0.025507490008257
1993-07-23,0.027946096424007,0.02,0.025507490008257
1993-07-30,0.027946096424007,0.02,0.025507490008257
1993-08-06,0.027946096424007,0.02,0.025507490008257
1993-08-13,0.027946096424007,0.02,0.025507490008257
1993-08-20,0.027946096424007,0.02,0.025507490008257
1993-08-27,0.027946096424007,0.02,0.025507490008257
1993-09-03,0.027946096424007,0.02,0.025507490008257
1993-09-10,0.027946096424007,0.02,0.025507490008257
1993-09-17,0.027946096424007,0.02,0.025507490008257
1993-09-24,0.027946096424007,0.02,0.025507490008257
1993-10-01,0.027946096424007,0.02,0.025507490008257
1993-10-08,0.027946096424007,0.02,0.025507490008257
1993-10-15,0.027946096424007,0.02,0.025507490008257
1993-10-22,0.027946096424007,0.02,0.025507490008257
1993-10-29,0.027946096424007,0.02,0.025507490008257
1993-11-05,0.027946096424007,0.02,0.025507490008257
1993-11-12,0.027946096424007,0.02,0.025507490008257
1993-11-19,0.027946096424007,0.02,0.025507490008257
1993-11-26,0.027946096424007,0.02,0.025507490008257
1993-12-04,0.027946096424007,0.02,0.025507490008257
1993-12-10,0.027946096424007,0.02,0.025507490008257
1993-12-17,0.027946096424007,0.02,0.025507490008257
1993-12-24,0.027946096424007,0.02,0.025507490008257
1993-12-31,0.027946096424007,0.02,0.025507490008257
1994-01-07,0.027946096424007,0.02,0.025507490008257
1994-01-14,0.027946096424007,0.02,0.025507490008257
1994-01-21,0.027946096424007,0.02,0.025507490008257
1994-01-28,0.027946096424007,0.02,0.025507490008257
1994-02-04,0.027946096424007,0.02,0.025507490008257
1994-02-11,0.027946096424007,0.02,0.025507490008257
1994-02-18,0.027946096424007,0.02,0.025507490008257
1994-02-25,0.027946096424007,0.02,0.025507490008257
1994-03-04,0.027946096424007,0.02,0.025507490008257
1994-03-11,0.027946096424007,0.02,0.025507490008257
1994-03-18,0.027946096424007,0.02,0.025507490008257
1994-03-25,0.027946096424007,0.02,0.025507490008257
1994-04-01,0.027946096424007,0.02,0.025507490008257
1994-04-08,0.027946096424007,0.02,0.025507490008257
1994-04-15,0.027946096424007,0.02,0.025507490008257
1994-04-22,0.027946096424007,0.02,0.025507490008257
1994-04-29,0.027946096424007,0.02,0.025507490008257
1994-05-06,0.027946096424007,0.02,0.025507490008257
1994-05-13,0.027946096424007,0.02,0.025507490008257
1994-05-20,0.027946096424007,0.02,0.025507490008257
1994-05-27,0.027946096424007,0.02,0.025507490008257
1994-06-03,0.027946096424007,0.02,0.025507490008257
1994-06-10,0.027946096424007,0.02,0.025507490008257
1994-06-17,0.027946096424007,0.02,0.025507490008257
1994-06-24,0.027946096424007,0.02,0.025507490008257
1994-07-01,0.027946096424007,0.02,0.025507490008257
1994-07-08,0.027946096424007,0.02,0.025507490008257
1994-07-15,0.027946096424007,0.02,0.025507490008257
1994-07-22,0.027946096424007,0.02,0.025507490008257
1994-07-29,0.027946096424007,0.02,0.025507490008257
1994-08-05,0.027946096424007,0.02,0.025507490008257
1994-08-12,0.027946096424007,0.02,0.025507490008257
1994-08-19,0.027946096424007,0.02,0.025507490008257
1994-08-26,0.027946096424007,0.02,0.025507490008257
1994-09-02,0.027946096424007,0.02,0.025507490008257
1994-09-09,0.027946096424007,0.02,0.025507490008257
1994-09-16,0.027946096424007,0.02,0.025507490008257
1994-09-23,0.027946096424007,0.02,0.025507490008257
1994-09-30,0.027946096424007,0.02,0.025507490008257
1994-10-07,0.027946096424007,0.02,0.025507490008257
1994-10-14,0.027946096424007,0.02,0.025507490008257
1994-10-21,0.027946096424007,0.02,0.025507490008257
1994-10-28,0.027946096424007,0.02,0.025507490008257
1994-11-04,0.027946096424007,0.02,0.025507490008257
1994-11-11,0.027946096424007,0.02,0.025507490008257
1994-11-18,0.027946096424007,0.02,0.025507490008257
1994-11-25,0.027946096424007,0.02,0.025507490008257
1994-12-02,0.027946096424007,0.02,0.025507490008257
1994-12-09,0.027946096424007,0.02,0.025507490008257
1994-12-16,0.027946096424007,0.02,0.025507490008257
1994-12-23,0.027946096424007,0.02,0.025507490008257
1994-12-30,0.027946096424007,0.02,0.025507490008257
1995-01-06,0.027946096424007,0.02,0.025507490008257
1995-01-13,0.027946096424007,0.02,0.025507490008257
1995-01-20,0.027946096424007,0.02,0.025507490008257
1995-01-27,0.027946096424007,0.02,0.025507490008257
1995-02-03,0.027946096424007,0.02,0.025507490008257
1995-02-10,0.027946096424007,0.02,0.025507490008257
1995-02-17,0.027946096424007,0.02,0.025507490008257
1995-02-24,0.027946096424007,0.02,0.025507490008257
1995-03-03,0.027946096424007,0.02,0.025507490008257
1995-03-10,0.027946096424007,0.02,0.025507490008257
1995-03-17,0.027946096424007,0.02,0.025507490008257
1995-03-24,0.027946096424007,0.02,0.025507490008257
1995-03-31,0.027946096424007,0.02,0.025507490008257
1995-04-07,0.027946096424007,0.02,0.025507490008257
1995-04-14,0.027946096424007,0.02,0.025507490008257
1995-04-21,0.027946096424007,0.02,0.025507490008257
1995-04-28,0.027946096424007,0.02,0.025507490008257
1995-05-05,0.027946096424007,0.02,0.025507490008257
1995-05-12,0.027946096424007,0.02,0.025507490008257
1995-05-19,0.027946096424007,0.02,0.025507490008257
1995-05-26,0.027946096424007,0.02,0.025507490008257
1995-06-02,0.027946096424007,0.02,0.025507490008257
1995-06-09,0.027946096424007,0.02,0.025507490008257
1995-06-16,0.027946096424007,0.02,0.025507490008257
1995-06-23,0.027946096424007,0.02,0.025507490008257
1995-06-30,0.027946096424007,0.02,0.025507490008257
1995-07-07,0.027946096424007,0.02,0.025507490008257
1995-07-14,0.027946096424007,0.02,0.025507490008257
1995-07-21,0.027946096424007,0.02,0.025507490008257
1995-07-28,0.027946096424007,0.02,0.025507490008257
1995-08-04,0.027946096424007,0.02,0.025507490008257
1995-08-11,0.027946096424007,0.02,0.025507490008257
1995-08-18,0.027946096424007,0.02,0.025507490008257
1995-08-25,0.027946096424007,0.02,0.025507490008257
1995-09-01,0.027946096424007,0.02,0.025507490008257
1995-09-08,0.027946096424007,0.02,0.025507490008257
1995-09-15,0.027946096424007,0.02,0.025507490008257
1995-09-22,0.027946096424007,0.02,0.025507490008257
1995-09-29,0.027946096424007,0.02,0.025507490008257
1995-10-06,0.027946096424007,0.02,0.025507490008257
1995-10-13,0.027946096424007,0.02,0.025507490008257
1995-10-20,0.027946096424007,0.02,0.025507490008257
1995-10-27,0.027946096424007,0.02,0.025507490008257
1995-11-03,0.027946096424007,0.02,0.025507490008257
1995-11-09,0.027946096424007,0.02,0.025507490008257
1995-11-17,0.027946096424007,0.02,0.025507490008257
1995-11-24,0.027946096424007,0.02,0.025507490008257
1995-12-01,0.027946096424007,0.02,0.025507490008257
1995-12-08,0.027946096424007,0.02,0.025507490008257
1995-12-15,0.027946096424007,0.02,0.025507490008257
1995-12-22,0.027946096424007,0.02,0.025507490008257
1995-12-29,0.027946096424007,0.02,0.025507490008257
1996-01-05,0.027946096424007,0.02,0.025507490008257
1996-01-12,0.027946096424007,0.02,0.025507490008257
1996-01-19,0.027946096424007,0.02,0.025507490008257
1996-01-26,0.027946096424007,0.02,0.025507490008257
1996-02-02,0.027946096424007,0.02,0.025507490008257
1996-02-09,0.027946096424007,0.02,0.025507490008257
1996-02-16,0.027946096424007,0.02,0.025507490008257
1996-02-23,0.027946096424007,0.02,0.025507490008257
1996-03-01,0.027946096424007,0.02,0.025507490008257
1996-03-08,0.027946096424007,0.02,0.025507490008257
1996-03-15,0.027946096424007,0.02,0.025507490008257
1996-03-22,0.027946096424007,0.02,0.025507490008257
1996-03-29,0.027946096424007,0.02,0.025507490008257
1996-04-05,0.027946096424007,0.02,0.025507490008257
1996-04-12,0.027946096424007,0.02,0.025507490008257
1996-04-19,0.027946096424007,0.02,0.025507490008257
1996-04-26,0.027946096424007,0.02,0.025507490008257
1996-05-03,0.027946096424007,0.02,0.025507490008257
1996-05-10,0.027946096424007,0.02,0.025507490008257
1996-05-17,0.027946096424007,0.02,0.025507490008257
1996-05-24,0.027946096424007,0.02,0.025507490008257
1996-05-31,0.027946096424007,0.02,0.025507490008257
1996-06-07,0.027946096424007,0.02,0.025507490008257
1996-06-14,0.027946096424007,0.02,0.025507490008257
1996-06-21,0.027946096424007,0.02,0.025507490008257
1996-06-28,0.027946096424007,0.02,0.025507490008257
1996-07-05,0.027946096424007,0.02,0.025507490008257
1996-07-12,0.027946096424007,0.02,0.025507490008257
1996-07-19,0.027946096424007,0.02,0.025507490008257
1996-07-26,0.027946096424007,0.02,0.025507490008257
1996-08-02,0.027946096424007,0.02,0.025507490008257
1996-08-09,0.027946096424007,0.02,0.025507490008257
1996-08-16,0.027946096424007,0.02,0.025507490008257
1996-08-23,0.027946096424007,0.02,0.025507490008257
1996-08-30,0.027946096424007,0.02,0.025507490008257
1996-09-06,0.027946096424007,0.02,0.025507490008257
1996-09-13,0.027946096424007,0.02,0.025507490008257
1996-09-20,0.027946096424007,0.02,0.025507490008257
1996-09-27,0.027946096424007,0.02,0.025507490008257
1996-10-04,0.027946096424007,0.02,0.025507490008257
1996-10-11,0.027946096424007,0.02,0.025507490008257
1996-10-18,0.027946096424007,0.02,0.025507490008257
1996-10-25,0.027946096424007,0.02,0.025507490008257
1996-11-01,0.027946096424007,0.02,0.025507490008257
1996-11-08,0.027946096424007,0.02,0.025507490008257
1996-11-15,0.027946096424007,0.02,0.025507490008257
1996-11-22,0.027946096424007,0.02,0.025507490008257
1996-11-29,0.027946096424007,0.02,0.025507490008257
1996-12-06,0.027946096424007,0.02,0.025507490008257
1996-12-13,0.027946096424007,0.02,0.025507490008257
1996-12-20,0.027946096424007,0.02,0.025507490008257
1996-12-27,0.027946096424007,0.02,0.025507490008257
1997-01-03,0.027946096424007,0.02,0.025507490008257
1997-01-10,0.027946096424007,0.02,0.025507490008257
1997-01-17,0.027946096424007,0.02,0.025507490008257
1997-01-24,0.027946096424007,0.02,0.025507490008257
1997-01-31,0.027946096424007,0.02,0.025507490008257
1997-02-07,0.027946096424007,0.02,0.025507490008257
1997-02-14,0.027946096424007,0.02,0.025507490008257
1997-02-21,0.027946096424007,0.02,0.025507490008257
1997-02-28,0.027946096424007,0.02,0.025507490008257
1997-03-07,0.027946096424007,0.02,0.025507490008257
1997-03-14,0.027946096424007,0.02,0.025507490008257
1997-03-21,0.027946096424007,0.02,0.025507490008257
1997-03-28,0.027946096424007,0.02,0.025507490008257
1997-04-04,0.027946096424007,0.02,0.025507490008257
1997-04-11,0.027946096424007,0.02,0.025507490008257
1997-04-18,0.027946096424007,0.02,0.025507490008257
1997-04-25,0.027946096424007,0.02,0.025507490008257
1997-05-02,0.027946096424007,0.02,0.025507490008257
1997-05-09,0.027946096424007,0.02,0.025507490008257
1997-05-16,0.027946096424007,0.02,0.025507490008257
1997-05-23,0.027946096424007,0.02,0.025507490008257
1997-05-30,0.027946096424007,0.02,0.025507490008257
1997-06-06,0.027946096424007,0.02,0.025507490008257
1997-06-13,0.027946096424007,0.02,0.025507490008257
1997-06-20,0.027946096424007,0.02,0.025507490008257
1997-06-27,0.027946096424007,0.02,0.025507490008257
1997-07-04,0.027946096424007,0.02,0.025507490008257
1997-07-11,0.027946096424007,0.02,0.025507490008257
1997-07-18,0.027946096424007,0.02,0.025507490008257
1997-07-25,0.027946096424007,0.02,0.025507490008257
1997-08-01,0.027946096424007,0.02,0.025507490008257
1997-08-08,0.027946096424007,0.02,0.025507490008257
1997-08-15,0.027946096424007,0.02,0.025507490008257
1997-08-22,0.027946096424007,0.02,0.025507490008257
1997-08-29,0.027946096424007,0.02,0.025507490008257
1997-09-05,0.027946096424007,0.02,0.025507490008257
1997-09-12,0.027946096424007,0.02,0.025507490008257
1997-09-19,0.027946096424007,0.02,0.025507490008257
1997-09-26,0.027946096424007,0.02,0.025507490008257
1997-10-03,0.027946096424007,0.02,0.025507490008257
1997-10-10,0.027946096424007,0.02,0.025507490008257
1997-10-17,0.027946096424007,0.02,0.025507490008257
1997-10-24,0.027946096424007,0.02,0.025507490008257
1997-10-31,0.027946096424007,0.02,0.025507490008257
1997-11-07,0.027946096424007,0.02,0.025507490008257
1997-11-14,0.027946096424007,0.02,0.025507490008257
1997-11-21,0.027946096424007,0.02,0.025507490008257
1997-11-28,0.027946096424007,0.02,0.025507490008257
1997-12-05,0.027946096424007,0.02,0.025507490008257
1997-12-12,0.027946096424007,0.02,0.025507490008257
1997-12-19,0.027946096424007,0.02,0.025507490008257
1997-12-26,0.027946096424007,0.02,0.025507490008257
1998-01-02,0.027946096424007,0.02,0.025507490008257
1998-01-09,0.027946096424007,0.02,0.025507490008257
1998-01-16,0.027946096424007,0.02,0.025507490008257
1998-01-23,0.027946096424007,0.02,0.025507490008257
1998-01-30,0.027946096424007,0.02,0.025507490008257
1998-02-06,0.027946096424007,0.02,0.025507490008257
1998-02-13,0.027946096424007,0.02,0.025507490008257
1998-02-20,0.027946096424007,0.02,0.025507490008257
1998-02-28,0.027946096424007,0.02,0.025507490008257
1998-03-06,0.027946096424007,0.02,0.025507490008257
1998-03-13,0.027946096424007,0.02,0.025507490008257
1998-03-20,0.027946096424007,0.02,0.025507490008257
1998-03-27,0.027946096424007,0.02,0.025507490008257
1998-04-03,0.027946096424007,0.02,0.025507490008257
1998-04-10,0.027946096424007,0.02,0.025507490008257
1998-04-17,0.027946096424007,0.02,0.025507490008257
1998-04-24,0.027946096424007,0.02,0.025507490008257
1998-05-01,0.027946096424007,0.02,0.025507490008257
1998-05-08,0.027946096424007,0.02,0.025507490008257
1998-05-15,0.027946096424007,0.02,0.025507490008257
1998-05-22,0.027946096424007,0.02,0.025507490008257
1998-05-29,0.027946096424007,0.02,0.025507490008257
1998-06-05,0.027946096424007,0.02,0.025507490008257
1998-06-12,0.027946096424007,0.02,0.025507490008257
1998-06-19,0.027946096424007,0.02,0.025507490008257
1998-06-26,0.027946096424007,0.02,0.025507490008257
1998-07-03,0.027946096424007,0.02,0.025507490008257
1998-07-10,0.027946096424007,0.02,0.025507490008257
1998-07-17,0.027946096424007,0.02,0.025507490008257
1998-07-24,0.027946096424007,0.02,0.025507490008257
1998-07-31,0.027946096424007,0.02,0.025507490008257
1998-08-07,0.027946096424007,0.02,0.025507490008257
1998-08-14,0.027946096424007,0.02,0.025507490008257
1998-08-21,0.027946096424007,0.02,0.025507490008257
1998-08-28,0.027946096424007,0.02,0.025507490008257
1998-09-04,0.027946096424007,0.02,0.025507490008257
1998-09-11,0.027946096424007,0.02,0.025507490008257
1998-09-18,0.027946096424007,0.02,0.025507490008257
1998-09-25,0.027946096424007,0.02,0.025507490008257
1998-10-02,0.027946096424007,0.02,0.025507490008257
1998-10-09,0.027946096424007,0.02,0.025507490008257
1998-10-16,0.027946096424007,0.02,0.025507490008257
1998-10-23,0.027946096424007,0.02,0.025507490008257
1998-10-30,0.027946096424007,0.02,0.025507490008257
1998-11-06,0.027946096424007,0.02,0.025507490008257
1998-11-13,0.027946096424007,0.02,0.025507490008257
1998-11-20,0.027946096424007,0.02,0.025507490008257
1998-11-27,0.027946096424007,0.02,0.025507490008257
1998-12-04,0.027946096424007,0.02,0.025507490008257
1998-12-11,0.027946096424007,0.02,0.025507490008257
1998-12-18,0.027946096424007,0.02,0.025507490008257
1998-12-25,0.027946096424007,0.02,0.025507490008257
1998-12-31,0.027946096424007,0.02,0.025507490008257
1999-01-08,0.027946096424007,0.02,0.025507490008257
1999-01-15,0.027946096424007,0.02,0.025507490008257
1999-01-22,0.027946096424007,0.02,0.025507490008257
1999-01-29,0.027946096424007,0.02,0.025507490008257
1999-02-05,0.027946096424007,0.02,0.025507490008257
1999-02-12,0.027946096424007,0.02,0.025507490008257
1999-02-19,0.027946096424007,0.02,0.025507490008257
1999-02-26,0.027946096424007,0.02,0.025507490008257
1999-03-05,0.027946096424007,0.02,0.025507490008257
1999-03-12,0.027946096424007,0.02,0.025507490008257
1999-03-19,0.027946096424007,0.02,0.025507490008257
1999-03-26,0.027946096424007,0.02,0.025507490008257
1999-04-02,0.027946096424007,0.02,0.025507490008257
1999-04-09,0.027946096424007,0.02,0.025507490008257
1999-04-16,0.027946096424007,0.02,0.025507490008257
1999-04-23,0.027946096424007,0.02,0.025507490008257
1999-04-30,0.027946096424007,0.02,0.025507490008257
1999-05-07,0.027946096424007,0.02,0.025507490008257
1999-05-14,0.027946096424007,0.02,0.025507490008257
1999-05-21,0.027946096424007,0.02,0.025507490008257
1999-05-28,0.027946096424007,0.02,0.025507490008257
1999-06-04,0.027946096424007,0.02,0.025507490008257
1999-06-11,0.027946096424007,0.02,0.025507490008257
1999-06-18,0.027946096424007,0.02,0.025507490008257
1999-06-25,0.027946096424007,0.02,0.025507490008257
1999-07-02,0.027946096424007,0.02,0.025507490008257
1999-07-09,0.027946096424007,0.02,0.025507490008257
1999-07-16,0.027946096424007,0.02,0.025507490008257
1999-07-23,0.027946096424007,0.02,0.025507490008257
1999-07-30,0.027946096424007,0.02,0.025507490008257
1999-08-06,0.027946096424007,0.02,0.025507490008257
1999-08-13,0.027946096424007,0.02,0.025507490008257
1999-08-20,0.027946096424007,0.02,0.025507490008257
1999-08-27,0.027946096424007,0.02,0.025507490008257
1999-09-03,0.027946096424007,0.02,0.025507490008257
1999-09-10,0.027946096424007,0.02,0.025507490008257
1999-09-17,0.027946096424007,0.02,0.025507490008257
1999-09-24,0.027946096424007,0.02,0.025507490008257
1999-10-01,0.027946096424007,0.02,0.025507490008257
1999-10-08,0.027946096424007,0.02,0.025507490008257
1999-10-15,0.027946096424007,0.02,0.025507490008257
1999-10-22,0.027946096424007,0.02,0.025507490008257
1999-10-29,0.027946096424007,0.02,0.025507490008257
1999-11-05,0.027946096424007,0.02,0.025507490008257
1999-11-12,0.027946096424007,0.02,0.025507490008257
1999-11-19,0.027946096424007,0.02,0.025507490008257
1999-11-26,0.027946096424007,0.02,0.025507490008257
1999-12-03,0.027946096424007,0.02,0.025507490008257
1999-12-10,0.027946096424007,0.02,0.025507490008257
1999-12-17,0.027946096424007,0.02,0.025507490008257
1999-12-24,0.027946096424007,0.02,0.025507490008257
1999-12-31,0.027946096424007,0.02,0.025507490008257
2000-01-07,0.027946096424007,0.02,0.025507490008257
2000-01-14,0.027946096424007,0.02,0.025507490008257
2000-01-21,0.027946096424007,0.02,0.025507490008257
2000-01-28,0.027946096424007,0.02,0.025507490008257
2000-02-04,0.027946096424007,0.02,0.025507490008257
2000-02-11,0.027946096424007,0.02,0.025507490008257
2000-02-18,0.027946096424007,0.02,0.025507490008257
2000-02-25,0.027946096424007,0.02,0.025507490008257
2000-03-03,0.027946096424007,0.02,0.025507490008257
2000-03-10,0.027946096424007,0.02,0.025507490008257
2000-03-17,0.027946096424007,0.02,0.025507490008257
2000-03-24,0.027946096424007,0.02,0.025507490008257
2000-03-31,0.027946096424007,0.02,0.025507490008257
2000-04-07,0.027946096424007,0.02,0.025507490008257
2000-04-14,0.027946096424007,0.02,0.025507490008257
2000-04-21,0.027946096424007,0.02,0.025507490008257
2000-04-28,0.027946096424007,0.02,0.025507490008257
2000-05-05,0.027946096424007,0.02,0.025507490008257
2000-05-12,0.027946096424007,0.02,0.025507490008257
2000-05-19,0.027946096424007,0.02,0.025507490008257
2000-05-26,0.027946096424007,0.02,0.025507490008257
2000-06-02,0.027946096424007,0.02,0.025507490008257
2000-06-09,0.027946096424007,0.02,0.025507490008257
2000-06-16,0.027946096424007,0.02,0.025507490008257
2000-06-23,0.027946096424007,0.02,0.025507490008257
2000-06-30,0.027946096424007,0.02,0.025507490008257
2000-07-07,0.027946096424007,0.02,0.025507490008257
2000-07-14,0.027946096424007,0.02,0.025507490008257
2000-07-21,0.027946096424007,0.02,0.025507490008257
2000-07-28,0.027946096424007,0.02,0.025507490008257
2000-08-04,0.027946096424007,0.02,0.025507490008257
2000-08-11,0.027946096424007,0.02,0.025507490008257
2000-08-18,0.027946096424007,0.02,0.025507490008257
2000-08-25,0.027946096424007,0.02,0.025507490008257
2000-09-01,0.027946096424007,0.02,0.025507490008257
2000-09-08,0.027946096424007,0.02,0.025507490008257
2000-09-15,0.027946096424007,0.02,0.025507490008257
2000-09-22,0.027946096424007,0.02,0.025507490008257
2000-09-29,0.027946096424007,0.02,0.025507490008257
2000-10-06,0.027946096424007,0.02,0.025507490008257
2000-10-13,0.027946096424007,0.02,0.025507490008257
2000-10-20,0.027946096424007,0.02,0.025507490008257
2000-10-27,0.027946096424007,0.02,0.025507490008257
2000-11-03,0.027946096424007,0.02,0.025507490008257
